model,segment,value,n,rmse,mae,r2,wape
lasso,hour,16,1248,25.62231562549823,4.441742248320133,0.6938841588588593,0.19898734717031608
lasso,hour,17,1248,24.329640656253815,4.460971208363028,0.7360067381850234,0.19108628635235816
lasso,hour,18,1248,35.59219433817362,5.121808191526447,0.46247676345925515,0.22213843085412563
lasso,hour,19,1248,26.70192017739054,4.283859462062773,0.6488929506608635,0.1903618658841769
lasso,hour,20,1248,21.84575787370018,4.038544848005146,0.715115015872509,0.1842609507513777
lasso,hour,21,1248,29.065738488275873,4.487322350728906,0.5488129631960668,0.2155387528689089
lasso,hour,22,1248,23.315749952179086,4.1128934960036645,0.6672725711459346,0.2066602478856465
lasso,hour,23,1248,22.3433524720889,3.8946988258087334,0.11477374383762329,0.23241589135743992
lasso,utility,pge,15264,1.14020203962845,0.7004259488228541,0.9936062698630331,0.060756030798341416
lasso,utility,sce,12672,33.43253384035557,7.603039451428028,0.5440821132018225,0.31951301838316565
lasso,utility,sdge,2016,1.7586552135766693,1.2951676927732798,0.987548477784344,0.03533348036449266
lasso,sub_kv_class,66.0,17568,7.4783644128092766,2.109147124962322,0.8387226850564389,0.15002941336695316
lasso,sub_kv_class,115.0,8928,38.45659922415929,7.843377710857779,0.5337082053578062,0.2752931549914757
lasso,sub_kv_class,230.0,1728,1.2756472706700341,0.9476661423575877,0.9913020084846603,0.03774539756559992
lasso,sub_kv_class,500.0,288,1.5740399338267232,1.4554280107057602,0.1674198466147594,0.15371905347532286
elasticnet,month,1,2496,12.199797222872913,2.7074571308052215,0.7723581468230134,0.17275507558454814
elasticnet,month,2,2496,17.397734213345696,3.2738242127185755,0.6423385842204813,0.19803719516726495
elasticnet,month,3,2496,15.891124671647285,3.042169445523798,0.6961978073898041,0.1884433875056024
elasticnet,month,4,2496,17.77354650456721,3.3014068150810343,0.5110428161778431,0.21493053507940044
elasticnet,month,5,2496,15.259471765439846,2.8921952710572656,0.7122634002535904,0.16809278325072763
elasticnet,month,6,2496,22.399680734222333,3.951741922393612,0.6804806704533657,0.19666173948461052
elasticnet,month,7,2496,25.30790557968338,4.389877794540477,0.6893542374116823,0.19861449221579983
elasticnet,month,8,2496,36.28471849777603,5.524871063147232,0.41893002084104247,0.23247884573627345
elasticnet,month,9,2496,35.79415626432614,5.932750236610331,0.5247175224650382,0.23881661604375642
elasticnet,month,10,2496,17.54081949084245,3.3842796337307175,0.5973959509149918,0.19529568844667283
