name,owner_raw,owner_std,type,category,matched_to_scrape,max_voltage_kv,latitude,longitude,county,city,status,cec_resolve_area,hifld_id
Senter,PG&E,pge,SUBSTATION ASSUMED,substation,False,115.0,37.30049053,-121.8447369,Santa Clara County,San Jose,Operational,PGE GBA,
College View,Other (PGE - Assumed),pge_assumed,SUBSTATION,substation,False,115.0,40.61848092,-122.32369995,Shasta County,Redding,Operational,PGE NGBA,303040.0
East Redding,Other (PGE - Assumed),pge_assumed,SUBSTATION,substation,False,115.0,40.57001126,-122.31417994,Shasta County,Redding,Operational,PGE NGBA,304518.0
Eureka Way,Other (PGE - Assumed),pge_assumed,SUBSTATION,substation,False,115.0,40.58389825,-122.43775362,Shasta County,Redding,Operational,PGE NGBA,310168.0
Benton,PG&E,pge,SUBSTATION,substation,False,115.0,40.56241358,-122.39534077,Shasta County,Redding,Operational,PGE NGBA,301267.0
Cascade,PG&E,pge,SUBSTATION,substation,False,115.0,40.65219256,-122.33418755,Shasta County,,Operational,PGE NGBA,304988.0
Mare Island Station H,Other (PGE - Assumed),pge_assumed,SUBSTATION,substation,False,115.0,38.085489,-122.25726115,Solano County,Vallejo,Operational,PGE NGBA,309932.0
Hale,Other (PGE - Assumed),pge_assumed,SUBSTATION,substation,False,115.0,38.23622822,-122.09665189,Solano County,,Operational,PGE NGBA,310059.0
Skaggs Island,PG&E,pge,SUBSTATION,substation,False,115.0,38.16135612,-122.38100529,Sonoma County,,Operational,PGE NGBA,308472.0
Stony Point,PG&E,pge,SUBSTATION,substation,False,115.0,38.37001099,-122.7641023,,,Operational,PGE NGBA,308658.0
Texaco Trading,Other (PGE - Assumed),pge_assumed,SUBSTATION,substation,False,115.0,37.53230901,-121.25931566,Stanislaus County,,Operational,PGE Fresno,301759.0
Standiford,Other (PGE - Assumed),pge_assumed,SUBSTATION,substation,False,115.0,37.69039182,-121.02109124,Stanislaus County,Modesto,Operational,PGE GBA,308591.0
Cortez - (Other),Other (PGE - Assumed),pge_assumed,SUBSTATION,substation,False,115.0,37.46265874,-120.74021209,Merced County,,Operational,PGE Fresno,303508.0
