sap_substation_name,lcr_area,city_served,division,owner,n_city_rows,match_type,match_score,pge_name,pge_norm_name,pge_voltage_kv,pge_lat,pge_lon
BADGER CREEK SUB,Kern,Kern County,KERN,nonPGE,1,unmatched,0.0,,,,,
BAHIA SUB,North Coast/North Bay,Benicia,NORTH BAY,PGE,1,exact,100.0,BAHIA,BAHIA,12.0,38.08114613944989,-122.13740639333582
BAIR SUB,Greater Bay Area,Redwood City,PENINSULA,PGE,1,unmatched,0.0,,,,,
BAKER CREEK,Humboldt,Humboldt County,HUMBOLDT,nonPGE,1,unmatched,0.0,,,,,
BAKERSFIELD JUNCTION SUB,Kern,Kern County,KERN,PGE,1,unmatched,0.0,,,,,
BAKERSFIELD SUB,Kern,Bakersfield,KERN,PGE,1,exact,100.0,BAKERSFIELD,BAKERSFIELD,12.0,35.38858633344532,-119.00445108128255
BALCH PH #1 SUB,Greater Fresno,Fresno County,FRESNO,PGE,1,fuzzy,76.19047619047619,BALCH NO 1,BALCH NO 1,12.0,36.90832240674941,-119.08622824128604
BALCH PH #2 SUB,Greater Fresno,Fresno County,FRESNO,PGE,1,unmatched,0.0,,,,,
BALFOUR SUB,Greater Bay Area,Brentwood; Discovery Bay; Knightsen,DIABLO,PGE,3,exact,100.0,BALFOUR,BALFOUR,12.0,37.926180349016605,-121.67855023269668
BANCROFT SUB,Greater Bay Area,Oakland; San Leandro,EAST BAY,PGE,2,exact,100.0,BANCROFT,BANCROFT,4.16,37.74028783112764,-122.1548323818996
BANGOR SUB,Sierra,Bangor; Challenge-Brownsville; Loma Rica; Palermo,SIERRA,PGE,4,exact,100.0,BANGOR,BANGOR,12.0,39.38796688540241,-121.40298390629762
BANK OF AMERICA SUB,Greater Bay Area,San Francisco,SAN FRANCISCO,nonPGE,1,unmatched,0.0,,,,,
BANTA CARBONA SUB,Stockton,Tracy,STOCKTON,nonPGE,1,unmatched,0.0,,,,,
BANTA SUB,Stockton,Lathrop; Tracy,STOCKTON,PGE,2,fuzzy,80.0,ANITA,ANITA,12.0,39.81086776157862,-121.91991335854588
BARKER SLOUGH SUB,Sierra,Solano County,SACRAMENTO,nonPGE,1,unmatched,0.0,,,,,
BARRETT SUB,Greater Bay Area,Richmond,EAST BAY,PGE,1,exact,100.0,BARRETT,BARRETT,4.16,37.93963708159622,-122.3466580473046
BARRY SUB,Sierra,Barry,SIERRA,PGE,1,exact,100.0,BARRY,BARRY,12.0,39.069242120060025,-121.68996821514853
BARTON SUB,Greater Fresno,Clovis; Fresno,FRESNO,PGE,2,exact,100.0,BARTON,BARTON,12.0,36.764127437715366,-119.73480480396712
BASALT SUB,North Coast/North Bay,Napa,NORTH BAY,PGE,1,exact,100.0,BASALT,BASALT,12.0,38.26311376964152,-122.26904909242027
BASCOM SUB,Greater Bay Area,San Jose,SAN JOSE,PGE,1,unmatched,0.0,,,,,
BAY MEADOWS SUB,Greater Bay Area,Burlingame; Foster City; Highlands-Baywood Park; Hillsborough; San Mateo,PENINSULA,PGE,5,exact,100.0,BAY MEADOWS,BAY MEADOWS,12.0,37.55164336687077,-122.29243887652298
BEACH STREET SUB,Greater Bay Area,San Francisco,SAN FRANCISCO,PGE,1,fuzzy,86.95652173913044,BECK STREET,BECK STREET,4.16,37.76624214689912,-122.17570399534448
BEALE AIR FORCE BASE,Sierra,Marysville,SIERRA,nonPGE,1,unmatched,0.0,,,,,
BEAR MOUNTAIN CO-GEN (DESTEC) SUB,Kern,Kern County,KERN,nonPGE,1,unmatched,0.0,,,,,
BEAR VALLEY SUB,Greater Fresno,Bear Valley,YOSEMITE,PGE,1,exact,100.0,BEAR VALLEY,BEAR VALLEY,21.0,37.58580609306456,-120.12582981367848
BEARDSLEY JCT SUB,Stockton,Strawberry,STOCKTON,PGE,1,unmatched,0.0,,,,,
BECK STREET SUB,Greater Bay Area,Oakland,EAST BAY,PGE,1,exact,100.0,BECK STREET,BECK STREET,4.16,37.76624214689912,-122.17570399534448
BELDEN PH,Sierra,Belden,NORTH VALLEY,PGE,1,unmatched,0.0,,,,,
BELL SUB,Sierra,Auburn; North Auburn,SIERRA,PGE,2,exact,100.0,BELL,BELL,12.0,38.946685494069264,-121.0914507213159
BELLE HAVEN SUB,Greater Bay Area,Atherton; East Palo Alto; Menlo Park; North Fair Oaks; Palo Alto; Redwood City,PENINSULA,PGE,6,unmatched,0.0,,,,,
BELLEVUE SUB,North Coast/North Bay,Cotati; Rohnert Park; Santa Rosa,NORTH COAST,PGE,3,exact,100.0,BELLEVUE,BELLEVUE,21.0,38.37873966235465,-122.7127531517697
BELLOTA SUB,Stockton,Bellota,STOCKTON,PGE,1,unmatched,0.0,,,,,
BELMONT SUB,Greater Bay Area,Belmont; Foster City; Redwood City; San Carlos; San Mateo,PENINSULA,PGE,5,exact,100.0,BELMONT,BELMONT,12.0,37.52392507929761,-122.2655656379043
BERESFORD SUB,Greater Bay Area,Hillsborough; San Mateo,PENINSULA,PGE,2,exact,100.0,BERESFORD,BERESFORD,4.16,37.56455256555905,-122.31946336534357
BERKELEY F SUB,Greater Bay Area,Albany; Berkeley; Oakland,EAST BAY,PGE,4,exact,100.0,BERKELEY F,BERKELEY F,12.0,37.87234225189556,-122.27809421905329
